Evaluation/Iteration,Evaluation/TerminationRate,GaussianMLPPolicy/LossAfter,GaussianMLPPolicy/dLoss,GaussianMLPPolicy/KL,Evaluation/MinReturn,Evaluation/StdReturn,Evaluation/AverageDiscountedReturn,Evaluation/MaxReturn,GaussianMLPPolicy/LossBefore,GaussianMLPValueFunction/dLoss,TotalEnvSteps,GaussianMLPPolicy/Entropy,GaussianMLPPolicy/KLBefore,GaussianMLPValueFunction/LossAfter,GaussianMLPValueFunction/LossBefore,Evaluation/NumEpisodes,Evaluation/AverageReturn
20,1.0,-3.8712680339813232,0.0074465274810791016,0.0017267061630263925,64.28368009723319,2.0684209296807907,-5.281312146395335,68.42052195659477,-3.863821506500244,11.719589233398438,36035,1.1329458951950073,0.0,50.03609848022461,61.75568771362305,2,66.35210102691397
21,1.0,-2.51625394821167,0.009210824966430664,0.002455660607665777,60.90554929524651,6.495577377251681,-5.407848791649698,73.89670404974987,-2.5070431232452393,6.389560699462891,37065,1.1192439794540405,0.0,49.964664459228516,56.354225158691406,2,67.4011266724982
22,1.0,-0.9234655499458313,0.23515796661376953,0.009882353246212006,59.882116765801406,4.724975839675135,-5.139333217194702,69.33206844515168,-0.6883075833320618,3.642169952392578,38276,1.1172373294830322,0.0,41.754703521728516,45.396873474121094,2,64.60709260547654
23,0.5,3.036686897277832,0.07218742370605469,0.005180974490940571,-56.02855062526988,59.24014125650616,-5.895076656369989,62.45173188774245,3.1088743209838867,5.32763671875,39939,1.0973759889602661,0.0,19.922664642333984,25.250301361083984,2,3.211590631236284
24,1.0,-5.345065593719482,0.05240583419799805,0.009376561269164085,72.74181295628631,4.353219992884296,-2.670061039970944,83.34587032413152,-5.292659759521484,12.570999145507812,41192,1.1006758213043213,0.0,44.766361236572266,57.33736038208008,3,77.72017602338953
25,1.0,-3.002357244491577,0.09533286094665527,0.011256595142185688,73.30930567321829,2.43412163632231,-3.511867951762087,79.0942078458674,-2.907024383544922,5.294879913330078,42483,1.1111764907836914,0.0,38.392330169677734,43.68721008300781,3,75.78496387579101
26,1.0,-3.147369146347046,0.21838903427124023,0.003782339161261916,75.94010567194485,0.20246092759502932,-3.272041504789429,76.42527495981551,-2.9289801120758057,4.209571838378906,43597,1.098810076713562,0.0,38.11725616455078,42.32682800292969,3,76.15303489855198
27,1.0,-2.613081693649292,0.11458396911621094,0.01918533258140087,73.89879354904143,1.68259899891638,-2.5550806538684836,77.54193117469188,-2.498497724533081,3.2901573181152344,44692,1.1034544706344604,0.0,35.08393478393555,38.37409210205078,3,76.27671840700145
28,1.0,-2.9469058513641357,0.15233397483825684,0.017671268433332443,72.63738691868014,3.729584281748843,-1.8878437361900953,81.73376824138963,-2.794571876525879,3.564056396484375,46075,1.1052685976028442,0.0,32.543033599853516,36.10708999633789,4,77.75440546338379
29,1.0,-2.2558887004852295,0.04301905632019043,0.003306999569758773,73.96156784551232,3.10941712669967,-2.6767643859063095,80.80212073683205,-2.212869644165039,2.202594757080078,47118,1.099359393119812,0.0,30.09748077392578,32.30007553100586,3,76.41499005586675
30,1.0,-0.050516530871391296,0.12692037224769592,0.002173947636038065,68.38243503386538,2.394948906806326,-4.454177755794812,73.68914725975476,0.07640384137630463,1.7862434387207031,48453,1.0972442626953125,0.0,25.454967498779297,27.2412109375,3,70.31390201930772
31,1.0,-0.865060567855835,0.03523242473602295,0.0026130559854209423,66.53719179386479,5.484692057779581,-3.7847642827080374,78.24777588467518,-0.829828143119812,1.6525402069091797,49690,1.1004084348678589,0.0,24.60274887084961,26.25528907775879,3,74.29321400739137
32,1.0,-0.5507882833480835,0.015224993228912354,0.0031748402398079634,56.42895346220457,8.490728054580106,-3.623536124412476,78.85440199220365,-0.5355632901191711,2.0440750122070312,51322,1.0981160402297974,0.0,23.469757080078125,25.513832092285156,4,69.4344238396769
33,1.0,-0.8241152167320251,0.07989513874053955,0.008900932967662811,68.40599866417504,2.853176319958978,-4.2371019143625,74.84626763693726,-0.7442200779914856,1.2904052734375,52540,1.113458514213562,0.0,21.25366973876953,22.54407501220703,3,72.40964161866208
34,1.0,-1.8838143348693848,0.30803000926971436,0.005857017822563648,64.10359967839565,6.288288746163891,-3.700394298377764,78.90081097550944,-1.5757843255996704,1.236989974975586,53626,1.1144274473190308,0.0,21.72283172607422,22.959821701049805,3,72.737046408474
35,1.0,-0.08738531917333603,0.22615697979927063,0.006716830190271139,56.755090526795634,7.671481632897238,-5.611987723163625,74.220464625343,0.138771653175354,1.2274932861328125,54942,1.113284945487976,0.0,19.082490921020508,20.30998420715332,3,67.48924558441279
36,1.0,-2.1119353771209717,0.23668122291564941,0.006505105644464493,66.70378926611613,6.575146357822717,-3.0842430794291276,82.78761093384193,-1.8752541542053223,1.1229190826416016,56013,1.113077163696289,0.0,19.487438201904297,20.6103572845459,3,74.50314798847684
37,1.0,-1.9193778038024902,0.15760290622711182,0.002669110195711255,71.92696645326274,5.836544180532842,-1.8094760250269406,85.11139407273113,-1.7617748975753784,1.0598430633544922,57102,1.1003925800323486,0.0,18.26305389404297,19.32289695739746,3,76.92329085123544
38,1.0,-2.5107595920562744,0.18490219116210938,0.004606709815561771,70.31781120908065,5.805081757187752,-1.1512087588454056,85.27876909314624,-2.325857400894165,1.292205810546875,58437,1.081734538078308,0.0,17.97365951538086,19.265865325927734,4,77.26926286673958
39,1.0,-1.985473394393921,0.21750807762145996,0.03795962035655975,76.15288608550826,3.624987595331783,-2.16144701405446,84.1637900871253,-1.767965316772461,0.8094997406005859,59509,1.08194899559021,0.0,16.14586067199707,16.955360412597656,3,79.05272259126694
40,1.0,-0.8759135603904724,0.5185240507125854,0.01365854311734438,71.25970043442534,3.3786802125999267,-3.4859677325492515,79.35274167440306,-0.35738950967788696,0.7602977752685547,60708,1.0770760774612427,0.0,14.957012176513672,15.717309951782227,3,74.80659091103266
41,1.0,-1.673287272453308,0.08469438552856445,0.005036340095102787,71.24193928806781,3.752692537654416,-2.7954142626924026,80.37178155070156,-1.5885928869247437,0.694218635559082,61767,1.0830553770065308,0.0,14.698598861694336,15.392817497253418,3,76.11537675504478
42,1.0,-2.177243947982788,0.024629592895507812,0.017609139904379845,73.11560740639092,3.399719152204106,-1.3402662533269862,82.71347973666177,-2.1526143550872803,0.8804931640625,63080,1.064361572265625,0.0,14.268141746520996,15.148634910583496,4,78.08259679540899
43,1.0,-1.9698063135147095,0.19380426406860352,0.009061982855200768,75.24749246108962,2.449051650888161,-2.4155000444368286,81.02650770569859,-1.776002049446106,0.7844362258911133,64420,1.0317515134811401,0.0,13.604100227355957,14.38853645324707,4,78.63905962125305
44,1.0,-0.28535810112953186,0.19524617493152618,0.007654974702745676,73.89528441302089,4.443560923002114,-3.4883241337996425,84.07073022452039,-0.09011192619800568,0.592900276184082,65665,0.9841215014457703,0.0,12.198569297790527,12.79146957397461,3,77.86752145318614
45,1.0,-1.7852506637573242,0.2029503583908081,0.0012877086410298944,78.74292523011889,1.3661250526511015,-1.7360402280210112,81.69130170264701,-1.5823003053665161,0.48542308807373047,66724,0.999130368232727,0.0,11.627471923828125,12.112895011901855,3,80.6739925653731
46,1.0,-1.1100372076034546,0.060514092445373535,0.0019565424881875515,74.3919913532628,4.02291070626853,-1.31720709019581,84.0947356179503,-1.049523115158081,0.6355600357055664,68208,0.9976807832717896,0.0,11.406006813049316,12.041566848754883,4,79.43290294924952
47,1.0,-1.9758479595184326,0.2574782371520996,0.010869014076888561,80.10152650532899,1.6768074860634816,-0.625835246452836,83.97536162621806,-1.718369722366333,0.44434261322021484,69273,0.9948313236236572,0.0,10.928571701049805,11.37291431427002,3,82.43251486398935
48,1.0,1.8945683240890503,0.1729494333267212,0.005573797971010208,70.39490109987617,1.3209709891399442,-4.277196693430524,73.03684307815605,2.0675177574157715,0.5739374160766602,70367,1.0084564685821533,0.0,9.800488471984863,10.374425888061523,2,71.7158720890161
49,1.0,0.12190546095371246,0.15859867632389069,0.004349586553871632,74.77159231449362,1.4316978416413422,-3.6205436340593593,78.25810169660846,0.28050413727760315,0.45183467864990234,71751,0.9701768755912781,0.0,9.619466781616211,10.071301460266113,3,76.62393587871874
50,1.0,-2.8534138202667236,0.45534491539001465,0.004227139987051487,80.10430549903771,1.1851866155525663,-1.0331369247551003,83.17783790298306,-2.398068904876709,0.5103178024291992,73105,0.9721748232841492,0.0,9.61513614654541,10.12545394897461,4,81.23538219991129
51,1.0,-3.8449087142944336,0.20009112358093262,0.0038821217603981495,81.7708045092035,2.473279285981105,1.0820722333961807,87.16987157220366,-3.644817590713501,0.5225658416748047,74314,0.9748745560646057,0.0,9.326228141784668,9.848793983459473,4,84.3518270372249
52,1.0,-0.3946647346019745,0.12497660517692566,0.002518197987228632,76.9992498716559,2.486985803637441,-1.6444838165362068,83.04073236549918,-0.26968812942504883,0.32769107818603516,75545,0.9748542308807373,0.0,8.366415977478027,8.694107055664062,3,80.2456530341264
53,1.0,0.43243664503097534,0.02968001365661621,0.010240571573376656,75.1969749495587,3.302063293014249,-2.8385335040940856,82.72590138804983,0.46211665868759155,0.3502616882324219,76901,0.9637954235076904,0.0,8.087196350097656,8.437458038330078,3,78.1081602426951
54,1.0,0.46119365096092224,0.23166880011558533,0.003077112138271332,67.09903516738748,6.097485290501304,-2.225491198500539,80.22817977237153,0.6928624510765076,0.3517904281616211,78374,0.9665043354034424,0.0,7.4360175132751465,7.787807941436768,3,75.7191188245205
55,1.0,-2.228700876235962,0.44554245471954346,0.00797076616436243,75.1726006526833,4.850354598510998,-0.3941886917325739,86.68594080951597,-1.7831584215164185,0.27239465713500977,79503,0.9673573970794678,0.0,7.791086673736572,8.063481330871582,3,80.08277615438709
56,1.0,-0.5665985941886902,0.31564369797706604,0.003535871859639883,70.62679463778252,2.8200301258116185,-2.4301181430210437,77.45964387749186,-0.25095489621162415,0.2196488380432129,80808,0.962797999382019,0.0,7.053266525268555,7.272915363311768,3,74.33584967447645
57,1.0,0.35230186581611633,0.4607050120830536,0.009459128603339195,61.69168009988307,7.9483569470765865,-2.78595165264457,80.4804582001691,0.8130068778991699,0.2979698181152344,82338,0.9558447003364563,0.0,6.544588565826416,6.84255838394165,3,69.61297471859226
58,1.0,0.4858798682689667,0.08328142762184143,0.005153610371053219,63.634387899137934,4.253850249186884,-3.180148488241129,73.35264497150291,0.5691612958908081,0.3026576042175293,83872,0.9480600953102112,0.0,6.499812126159668,6.802469730377197,3,67.40850755937855
59,1.0,-2.344233751296997,0.2185966968536377,0.009779862128198147,70.84656860765233,3.4282620269320927,-2.7051564867480073,79.1430058013828,-2.1256370544433594,0.3219280242919922,85151,0.930070698261261,0.0,6.743402481079102,7.065330505371094,3,75.369733094204
60,1.0,0.2721821069717407,0.2884974479675293,0.0017371387220919132,61.31639849611001,10.909848759609638,-2.2463178368541743,83.13609601532929,0.56067955493927,0.24897336959838867,86354,0.9308146238327026,0.0,5.92293119430542,6.171904563903809,2,72.22624725571964
61,1.0,-2.8693044185638428,0.17693519592285156,0.0024003065191209316,75.13048085625377,3.3973406205580665,-1.4042016737849554,83.12638248349768,-2.692369222640991,0.2802724838256836,87557,0.9260493516921997,0.0,6.423242092132568,6.703514575958252,3,79.7940827872038
62,1.0,-0.6892234683036804,0.09820538759231567,0.0022208597511053085,70.37619547277866,3.021620432859021,-3.4027228291608727,77.76368769404783,-0.5910180807113647,0.18297100067138672,88904,0.9223868250846863,0.0,6.191410064697266,6.374381065368652,3,74.200994664998
63,1.0,-2.3069090843200684,0.029512643814086914,0.00480436347424984,75.97836185030182,1.2138631293333642,-2.7229539554956506,78.58249570580185,-2.2773964405059814,0.18554353713989258,90072,0.9216073155403137,0.0,6.088499069213867,6.27404260635376,3,77.69468202619525
64,1.0,-2.673818349838257,0.1754910945892334,0.015504294075071812,79.70158965205464,1.7456686589301633,-1.1036881085000376,83.96009757826633,-2.4983272552490234,0.16622066497802734,91198,0.912673830986023,0.0,6.0135650634765625,6.17978572845459,3,81.94237262596725
65,1.0,-1.484902024269104,0.07606291770935059,0.014749973081052303,74.05883411193616,3.696837710729656,-1.6428939796296484,81.95002621436682,-1.4088391065597534,0.15876245498657227,92352,0.8981629014015198,0.0,5.964145183563232,6.122907638549805,3,79.28663989506528
66,1.0,-1.7808970212936401,0.1669151782989502,0.01175865437835455,78.67359241317357,3.5303754532251483,-0.10789056187019581,86.26140681644041,-1.61398184299469,0.12877655029296875,93518,0.9499557614326477,0.0,5.797859191894531,5.9266357421875,3,81.27005867590212
67,1.0,0.10097156465053558,0.02835586667060852,0.004159845877438784,70.15770854207176,5.096087595559402,-2.633080520596846,81.80989371604173,0.1293274313211441,0.14577150344848633,95019,0.9492265582084656,0.0,5.43011474609375,5.575886249542236,3,77.27631912897012
68,1.0,-0.09542061388492584,0.6769862771034241,0.005915602203458548,70.48497554403565,2.013444291180882,-3.3303253540963498,74.51186412639741,0.5815656781196594,0.11145591735839844,96074,1.0070058107376099,0.0,5.316946029663086,5.428401947021484,2,72.49841983521654
69,1.0,1.0261070728302002,0.12653374671936035,0.005633980967104435,63.00408534179707,3.667398815917391,-5.064797516690438,70.33888297363185,1.1526408195495605,0.1913590431213379,97231,0.9927318692207336,0.0,5.257580280303955,5.448939323425293,2,66.67148415771446
70,1.0,-0.8896098136901855,0.01571476459503174,0.004000589717179537,69.18746399887237,2.774246288434597,-3.899921429663867,74.73595657574157,-0.8738950490951538,0.08054399490356445,98338,0.9753531217575073,0.0,5.2325215339660645,5.313065528869629,2,71.96171028730697
71,1.0,-1.059622883796692,0.14810454845428467,0.006072336342185736,59.9510803127801,9.864685822684924,-3.372066086695208,81.41394717322945,-0.9115183353424072,0.09121561050415039,100011,0.9772961735725403,0.0,5.0928802490234375,5.184095859527588,3,73.88690531827964
72,1.0,0.03441543132066727,0.04910242557525635,0.006208202801644802,66.48792459939834,4.343200365581744,-3.889659184867436,75.17432533056183,0.08351785689592361,0.0732417106628418,101286,0.9774943590164185,0.0,4.945642471313477,5.018884181976318,2,70.83112496498009
73,1.0,-0.09553227573633194,0.037446510046720505,0.004292127676308155,64.44279184964755,2.6114863143759734,-4.85517920648708,69.6657644783995,-0.058085765689611435,0.07561922073364258,102690,0.9810987710952759,0.0,4.860599994659424,4.936219215393066,2,67.05427816402351
74,1.0,-1.921301245689392,0.09820258617401123,0.00924113392829895,67.46540409448319,3.6386377621138664,-4.378565730255879,74.74267961871092,-1.8230986595153809,0.1171417236328125,103799,0.9832994341850281,0.0,4.94193696975708,5.059078693389893,2,71.10404185659706
75,1.0,-0.6754135489463806,0.2005920708179474,0.008630669675767422,72.21847458116488,1.6301149124526972,-3.692897570453697,75.47870440607028,-0.4748214781284332,0.05806398391723633,104952,0.9872693419456482,0.0,4.804855823516846,4.862919807434082,2,73.84858949361758
76,1.0,0.29734542965888977,0.00044867396354675293,0.001614061533473432,61.90401675288535,0.8097766852517907,-3.8431186495738845,63.52357012338893,0.2977941036224365,0.05655622482299805,106619,0.9840582609176636,0.0,4.572458267211914,4.629014492034912,2,62.71379343813714
77,0.5,1.7977745532989502,0.0,0.0,-43.99354754224317,59.56226167651673,-4.097733261254722,75.13097581079029,1.7977745532989502,0.0939626693725586,108173,0.9840582609176636,0.0,4.172100067138672,4.2660627365112305,2,15.56871413427356
78,1.0,-1.3444459438323975,0.05110955238342285,0.00848762784153223,52.10638561509467,5.464098314232601,-4.60409781496321,63.034582243559875,-1.2933363914489746,0.04917621612548828,109909,0.9808817505836487,0.0,4.490265846252441,4.53944206237793,2,57.570483929327274
79,0.5,0.8893223404884338,0.022914469242095947,0.006751785054802895,-42.08885184359375,52.64022676473368,-4.1918009229281346,63.19160168587362,0.9122368097305298,0.028321266174316406,111713,0.9839622378349304,0.0,4.097446441650391,4.125767707824707,2,10.551374921139935
80,1.0,-2.492865562438965,0.011976957321166992,0.006511295679956675,64.1014666249977,5.19968065369418,-4.269374976289459,74.50082793238606,-2.480888605117798,0.09337186813354492,113139,0.9778488874435425,0.0,4.539519786834717,4.632891654968262,2,69.30114727869187
81,0.5,1.6093976497650146,0.03255033493041992,0.011049589142203331,-44.91134864054071,55.276188627056165,-4.129851815105502,65.64102861357162,1.6419479846954346,0.07884407043457031,115037,0.9589083790779114,0.0,3.9994688034057617,4.078312873840332,2,10.364839986515456
82,1.0,-2.0568692684173584,0.0021991729736328125,6.127022788859904e-05,60.954690948969926,4.355837949486769,-4.408306350793174,69.66636684794346,-2.0546700954437256,0.10098743438720703,116717,0.9592227935791016,0.0,4.498196125030518,4.599183559417725,2,65.3105288984567
83,0.0,3.0887677669525146,0.00013303756713867188,9.509440860711038e-05,-44.69648149627468,1.0928140604773695,-4.4967710053901175,-42.51085337531994,3.0889008045196533,0.21432757377624512,118715,0.9573038816452026,0.0,3.587101936340332,3.801429510116577,2,-43.603667435797306
84,0.5,-1.5184160470962524,0.06710267066955566,0.005732692312449217,-42.83180430015632,53.02891032672114,-4.977773656498753,63.22601635328596,-1.4513133764266968,0.04117870330810547,120532,0.9538059830665588,0.0,4.108669281005859,4.149847984313965,2,10.197106026564818
85,1.0,-2.4772984981536865,0.0026078224182128906,0.0003031305386684835,52.41328734135759,13.528234146693869,-3.776322338473861,79.46975563474533,-2.4746906757354736,0.1414012908935547,121985,0.9510688781738281,0.0,4.581381320953369,4.722782611846924,2,65.94152148805145
86,1.0,-2.0943894386291504,0.12837398052215576,0.01048938650637865,65.39965811983156,6.338803378272026,-4.5729280621743715,78.07726487637561,-1.9660154581069946,0.08500146865844727,123181,0.9572322964668274,0.0,4.628301620483398,4.713303089141846,2,71.73846149810359
87,1.0,-2.8372318744659424,0.0005505084991455078,0.011681918054819107,77.23217315812188,2.221753121842872,-2.968423942349214,82.33490621128055,-2.836681365966797,0.11076211929321289,124538,0.9564923048019409,0.0,4.7344489097595215,4.845211029052734,3,80.32968046285227
88,1.0,0.8105977177619934,0.012075483798980713,0.0059156413190066814,70.84601206175878,0.5558256311155816,-4.196922220436546,71.95766332398995,0.8226732015609741,0.0756230354309082,125839,0.9601888060569763,0.0,4.507165431976318,4.582788467407227,2,71.40183769287437
